numero_de_cliente,Predicted
170692781,1
99368960,1
137193110,1
56953550,1
79115621,1
134595101,1
83813441,1
136830111,1
102084630,1
156009501,1
75291691,1
75528310,1
157067771,1
90944230,1
103833251,1
86907950,1
124387931,1
87971010,1
171116420,1
115766250,1
34796551,1
136648941,1
132430850,1
156556770,1
145872341,1
118955311,1
144778930,1
59343241,1
143405570,1
110696440,1
126268851,1
162331911,1
95896431,1
77598811,1
134813931,1
104454090,1
87766740,1
60240750,1
114879390,1
105598491,1
69888660,1
152863250,1
62775710,1
145605841,1
91300200,1
143993540,1
31409060,1
132128560,1
75896381,1
169000120,1
97186981,1
134159600,1
154760130,1
122521180,1
186550000,1
59171601,1
33825071,1
140198541,1
90729780,1
39467060,1
128962471,1
95815030,1
74944491,1
71964550,1
70558620,1
63897370,1
106739221,1
117397091,1
102614571,1
85812481,1
114394051,1
132336990,1
56622080,1
85390490,1
88650030,1
146835341,1
75539881,1
36155231,1
157545501,1
162035241,1
40876500,1
87818901,1
158673890,1
99712411,1
148560760,1
119810830,1
157837261,1
144832261,1
88189790,1
170935600,1
106141371,1
38034690,1
51056240,1
126981551,1
153740741,1
123457570,1
71692961,1
158099021,1
68900160,1
120956051,1
116433741,1
81124620,1
119200051,1
157093800,1
41765051,1
163152340,1
142926551,1
116905450,1
124605601,1
125898021,1
54490870,1
152992020,1
154083441,1
91349611,1
119057651,1
94154991,1
146087850,1
104387890,1
115357350,1
56853900,1
79477561,1
122937961,1
184300421,1
57573731,1
144492661,1
121830050,1
154055200,1
146743411,1
85963361,1
100235051,1
157994400,1
118651271,1
81454271,1
84592691,1
30534241,1
74308690,1
94580850,1
98715610,1
55339711,1
140272350,1
83517940,1
111249951,1
35381540,1
70106090,1
59231071,1
144519451,1
119969131,1
94169961,1
127700640,1
174502160,1
138045520,1
154838490,1
98336600,1
36961041,1
77494011,1
117179900,1
178761780,1
91045221,1
162173080,1
114376621,1
73574700,1
68606171,1
142003850,1
29292180,1
30159680,1
38565870,1
79186040,1
102794461,1
127611681,1
68185521,1
112715011,1
74376171,1
156866891,1
180528540,1
98920590,1
86481920,1
94311490,1
156519990,1
172157721,1
152779731,1
39608290,1
144711040,1
171141271,1
66327941,1
77135351,1
135846710,1
62778930,1
113913460,1
99160360,1
170250841,1
134735741,1
105689781,1
32997391,1
156577991,1
103520210,1
162587010,1
69985330,1
129660791,1
69897721,1
127219631,1
111754760,1
146103520,1
110632451,1
145667311,1
116341290,1
105246800,1
162649521,1
58612410,1
93328140,1
118722210,1
130682570,1
56806871,1
174196600,1
123724061,1
162930461,1
159137401,1
164386861,1
60584201,1
154141511,1
134486040,1
66760291,1
149488970,1
78340581,1
136331510,1
156598811,1
70235980,1
85620260,1
97370560,1
156893791,1
144579861,1
52747090,1
101982110,1
99953940,1
118368811,1
126919211,1
89009041,1
37383851,1
111786451,1
117323120,1
144421841,1
146398380,1
106782201,1
59813831,1
103644130,1
130152500,1
94265871,1
90959721,1
65078390,1
169038540,1
96925460,1
123980851,1
107450051,1
170799690,1
144296820,1
52158361,1
130283730,1
168858301,1
50836811,1
135055640,1
170793430,1
113670120,1
123232300,1
123887161,1
129739160,1
113929131,1
59339740,1
118494780,1
122350820,1
67866041,1
102623231,1
102442940,1
40639890,1
171351160,1
169123271,1
79487151,1
54504790,1
37660291,1
135836641,1
146922720,1
99340070,1
115370911,1
178891430,1
110126771,1
106654310,1
158667861,1
34273671,1
164099030,1
95604910,1
102591591,1
39892911,1
106817001,1
162936370,1
171410341,1
124507300,1
89899650,1
75995980,1
101648821,1
127383841,1
88470491,1
141261431,1
142919181,1
98438300,1
77832330,1
180643911,1
114947391,1
132023701,1
149425520,1
101225900,1
174446780,1
143767740,1
56888981,1
153337640,1
31275840,1
182454130,1
50925061,1
131283981,1
39234881,1
85528501,1
158237561,1
132151481,1
81280530,1
142941410,1
68582141,1
77400570,1
156949120,1
66670231,1
153996771,1
59882371,1
